Inicio del algoritmo Branch & Bound 4 threads
Mejor costo: 1338.6620170328863, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 41, 39, 40, 46, 48, 49, 45, 42, 47], Tiempo actual: 73.28 segundos
Mejor costo: 1335.2320037292277, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 49, 48, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 136.38 segundos
Mejor costo: 1335.2265038439668, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 49, 48, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 136.48 segundos
Mejor costo: 1332.9943967650815, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 49, 48, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 156.29 segundos
Mejor costo: 1332.9083403306347, Mejor ruta actual: [1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 42, 47, 46, 40, 39, 41, 43, 44, 38, 48, 49], Tiempo actual: 391.41 segundos
Mejor costo: 1332.4726087598954, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 42, 47, 46, 40, 39, 41, 43, 44, 38, 48, 49], Tiempo actual: 398.42 segundos
Mejor costo: 1332.2771573669224, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 47, 42, 46, 40, 39, 41, 43, 44, 38, 48, 49], Tiempo actual: 424.95 segundos
Mejor costo: 1331.035704703708, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 438.46 segundos
Mejor costo: 1327.1976369042889, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 446.59 segundos
Mejor costo: 1318.3273652276512, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 615.60 segundos
Mejor costo: 1318.3218653423903, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 616.00 segundos
Mejor costo: 1317.3212885088735, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 676.65 segundos
Mejor costo: 1317.3157886236127, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 677.00 segundos
Mejor costo: 1316.089758263505, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 711.13 segundos
Mejor costo: 1315.0836815447274, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 793.75 segundos
Mejor costo: 1312.0253756996954, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 43, 44, 38, 48, 37, 49, 45, 42, 47, 46, 40, 39, 41], Tiempo actual: 3316.04 segundos
Mejor costo: 1311.8299243067224, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 43, 44, 38, 48, 37, 49, 45, 47, 42, 46, 40, 39, 41], Tiempo actual: 3316.21 segundos
Mejor costo: 1310.5820504862602, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 43, 44, 38, 48, 49, 37, 45, 42, 47, 46, 40, 39, 41], Tiempo actual: 3317.95 segundos
Mejor costo: 1310.3865990932873, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 43, 44, 38, 48, 49, 37, 45, 47, 42, 46, 40, 39, 41], Tiempo actual: 3318.25 segundos
