Inicio del algoritmo Branch & Bound 4 nodos spark
Mejor costo: 1318.3273652276512, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 165.33 segundos
Mejor costo: 1318.3218653423903, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 165.33 segundos
Mejor costo: 1317.3212885088735, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 180.67 segundos
Mejor costo: 1317.3157886236127, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 180.67 segundos
Mejor costo: 1313.9795841752439, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 45, 37, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 818.58 segundos
Mejor costo: 1312.9735074564662, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 45, 37, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 820.46 segundos
Mejor costo: 1312.6673502270096, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 46, 40, 39, 41, 43, 44, 38, 48, 49, 37, 45, 42, 47], Tiempo actual: 919.70 segundos
Mejor costo: 1310.906814178963, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 36, 45, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 1294.39 segundos
Mejor costo: 1310.6006569495064, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 36, 46, 40, 39, 41, 43, 44, 38, 48, 49, 45, 42, 47], Tiempo actual: 1296.71 segundos
Mejor costo: 1308.9297062960745, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 48, 49, 45, 36, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 1481.29 segundos
